ticket_id,opened_date,store_id,category,summary,severity,status,channel
TCKT0039,2026-02-19,ST004,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 2 minutes,medium,in_progress,email
TCKT0040,2026-02-15,ST006,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 4 minutes,medium,open,email
TCKT0041,2026-02-11,ST004,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 8 minutes,medium,open,store_portal
TCKT0042,2026-02-06,ST008,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 7 minutes,medium,resolved,chat
TCKT0043,2026-02-19,ST005,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 1 minutes,medium,resolved,email
TCKT0044,2026-02-11,ST002,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 5 minutes,medium,resolved,email
TCKT0045,2026-02-09,ST008,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 7 minutes,medium,open,email
TCKT0046,2026-02-19,ST007,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 3 minutes,medium,open,chat
TCKT0047,2026-02-03,ST003,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 9 minutes,medium,open,email
TCKT0048,2026-02-18,ST008,BOPIS Pickup Delay,Pickup handoff exceeded SLA by 6 minutes,medium,resolved,store_portal
TCKT0049,2026-02-07,ST006,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 5,low,in_progress,chat
TCKT0050,2026-02-21,ST002,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 6,low,resolved,chat
TCKT0051,2026-02-02,ST008,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 3,low,resolved,chat
TCKT0052,2026-02-17,ST005,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 4,low,open,chat
TCKT0053,2026-02-18,ST002,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 3,low,resolved,email
TCKT0054,2026-02-14,ST006,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 3,low,resolved,email
TCKT0055,2026-02-19,ST005,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 4,low,in_progress,chat
TCKT0056,2026-02-05,ST004,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 9,low,in_progress,email
TCKT0057,2026-02-15,ST007,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 9,low,open,store_portal
TCKT0058,2026-02-05,ST003,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 9,low,open,store_portal
TCKT0059,2026-02-04,ST001,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 9,low,resolved,store_portal
TCKT0060,2026-02-03,ST001,Fitting Room QR Scanner,Fitting room QR scanner failed code parse at room 1,low,in_progress,email
