customer_id,loyalty_tier,home_store_id,preferred_channel,lifetime_value_band
CUST0110,Bronze,ST002,sms,low
CUST0111,Gold,ST003,app_push,low
CUST0112,Gold,ST002,sms,medium
CUST0113,Bronze,ST004,email,high
CUST0114,Bronze,ST005,app_push,medium
CUST0115,Gold,ST005,sms,low
CUST0116,Silver,ST007,app_push,low
CUST0117,Gold,ST007,sms,medium
CUST0118,Platinum,ST004,sms,low
CUST0119,Silver,ST006,email,low
CUST0120,Platinum,ST005,sms,low
CUST0121,Bronze,ST005,email,low
CUST0122,Silver,ST001,sms,high
CUST0123,Bronze,ST008,sms,low
CUST0124,Bronze,ST005,sms,medium
CUST0125,Silver,ST004,sms,low
CUST0126,Gold,ST001,email,low
CUST0127,Bronze,ST001,email,low
CUST0128,Gold,ST004,sms,high
CUST0129,Bronze,ST003,sms,low
CUST0130,Silver,ST006,email,high
CUST0131,Gold,ST005,email,medium
CUST0132,Silver,ST006,email,high
CUST0133,Bronze,ST001,email,low
CUST0134,Bronze,ST002,email,low
CUST0135,Bronze,ST003,email,medium
CUST0136,Gold,ST007,app_push,medium
CUST0137,Silver,ST002,email,high
CUST0138,Platinum,ST006,sms,high
CUST0139,Bronze,ST007,app_push,low
CUST0140,Gold,ST006,sms,medium
CUST0141,Bronze,ST002,email,medium
CUST0142,Bronze,ST006,sms,medium
CUST0143,Bronze,ST007,sms,low
CUST0144,Silver,ST005,app_push,medium
CUST0145,Gold,ST008,email,low
CUST0146,Bronze,ST005,email,low
CUST0147,Bronze,ST002,sms,low
CUST0148,Silver,ST003,app_push,medium
CUST0149,Bronze,ST006,email,low
CUST0150,Bronze,ST005,sms,medium
CUST0151,Bronze,ST003,app_push,low
CUST0152,Silver,ST003,sms,medium
CUST0153,Bronze,ST008,email,medium
CUST0154,Silver,ST004,app_push,medium
CUST0155,Bronze,ST004,sms,medium
CUST0156,Gold,ST005,app_push,low
CUST0157,Bronze,ST007,email,low
CUST0158,Silver,ST006,email,low
CUST0159,Silver,ST006,email,low
CUST0160,Bronze,ST003,app_push,medium
CUST0161,Silver,ST008,sms,medium
CUST0162,Bronze,ST005,sms,low
CUST0163,Gold,ST008,app_push,low
CUST0164,Bronze,ST002,app_push,medium
CUST0165,Silver,ST003,app_push,medium
CUST0166,Bronze,ST005,email,medium
CUST0167,Silver,ST006,email,high
CUST0168,Gold,ST006,app_push,low
CUST0169,Silver,ST004,email,low
CUST0170,Silver,ST002,sms,low
CUST0171,Silver,ST007,email,low
CUST0172,Bronze,ST005,app_push,high
CUST0173,Silver,ST001,app_push,high
CUST0174,Bronze,ST006,sms,low
CUST0175,Silver,ST008,app_push,medium
CUST0176,Platinum,ST001,email,medium
CUST0177,Silver,ST003,email,high
CUST0178,Silver,ST007,app_push,medium
CUST0179,Silver,ST005,email,medium
CUST0180,Silver,ST003,email,low
CUST0181,Bronze,ST004,email,high
CUST0182,Bronze,ST002,app_push,low
CUST0183,Bronze,ST005,sms,high
CUST0184,Gold,ST006,app_push,medium
CUST0185,Bronze,ST002,sms,medium
CUST0186,Gold,ST003,email,high
CUST0187,Bronze,ST007,email,low
CUST0188,Bronze,ST006,sms,medium
CUST0189,Bronze,ST006,app_push,low
CUST0190,Gold,ST001,email,low
CUST0191,Silver,ST005,app_push,high
CUST0192,Bronze,ST003,app_push,medium
CUST0193,Gold,ST004,email,medium
CUST0194,Silver,ST004,app_push,low
CUST0195,Bronze,ST007,sms,low
CUST0196,Gold,ST007,app_push,low
CUST0197,Silver,ST007,sms,medium
CUST0198,Gold,ST004,email,medium
CUST0199,Bronze,ST001,sms,low
CUST0200,Silver,ST003,email,medium
